"Formation energies of the G3/99 dataset in units of eV."
"All density functional data, except for B3LYP and PBE0, are computed from ground-state DFT calculations published in Wellendorff, Lundgaard, Mogelhoj, Petzold, Landis, Bligaard, Norskov, and Jacobsen: BEEF-vdW etc., Phys. Rev. B (2012)."
"#","name","experiment","LDA","PBE","RPBE","PBEsol","WC","AM05","BLYP","HCTH407","TPSS","revTPSS","B3LYP","PBE0","vdW-DF","vdW-DF2","optPBE-vdW","optB88-vdW","C09-vdW","BEEF-vdW"
193,"t-butanethiol",-59.04842016,-66.90417315,-59.61418363,-57.51082741,-62.2990511,-61.07799432,-62.52788961,-57.91196395,-58.08570837,-59.22766475,-59.23017561,-59.55144389,-58.94000988,-58.89666756,-58.79991368,-60.69207924,-61.12620223,-62.4181261,-58.69912606
194,"diethyl disulfide",-61.65028369,-70.36523397,-62.55190347,-60.26645141,-65.46872817,-64.19267925,-65.68228682,-60.59663486,-60.77068856,-62.04227135,-62.05896365,-62.17065307,-61.4247903,-61.55086196,-61.39149985,-63.52874599,-64.00980984,-65.47682618,-61.38218254
195,"t-butylamine",-63.85669685,-72.43848081,-64.63580976,-62.35672113,-67.43110741,-66.10045715,-67.63168662,-63.00999959,-62.77663594,-64.1064227,-64.04363234,-64.16458207,-63.73961374,-63.97986364,-64.05013866,-65.8544966,-66.31838438,-67.55802682,-63.641814
196,"tetramethylsilane",-67.01171563,-74.54056382,-66.99136137,-64.9463064,-69.69220124,-68.42015183,-70.04733004,-65.5610925,-65.52292269,-67.16752239,-67.00368473,-67.61447682,-67.27190032,-66.68565119,-66.51987507,-68.39664964,-68.84682534,-69.98650326,-66.29030114
197,"2-methyl thiophene",-54.61862759,-63.20138741,-56.24003623,-53.92185679,-58.91142453,-57.85538606,-58.88220305,-53.96698881,-54.35596167,-54.96143964,-54.95025039,-55.06961438,-53.9421474,-54.27611076,-54.30967921,-56.28065312,-56.80137856,-58.27749161,-54.49238021
198,"N-methyl pyrrole",-59.06343373,-68.50633173,-60.93602011,-58.41408497,-63.75218806,-62.57885506,-63.70229771,-58.76833193,-58.69221657,-59.58209775,-59.56765607,-59.21520813,-58.30022531,-59.05996914,-59.27342803,-61.15985919,-61.72303878,-63.15613561,-59.1005116
199,"tetrahydropyran",-67.67047369,-77.51956178,-68.81506194,-66.13690531,-72.04865005,-70.66158346,-72.20608367,-66.62549696,-66.79093696,-67.87052393,-67.84073931,-68.15615177,-67.29320589,-67.39051333,-67.39325983,-69.6498449,-70.24492857,-71.83655322,-67.27503255
200,"diethyl ketone",-67.94785389,-77.53559323,-69.1931186,-66.67204495,-72.22748232,-70.87686919,-72.45235694,-67.22593555,-67.34011251,-68.25034295,-68.13461204,-68.24272987,-67.58359533,-67.90672522,-67.97111401,-70.0137522,-70.56204331,-71.99999047,-67.73466846
201,"isopropyl acetate",-72.93771257,-83.93160833,-74.4489121,-71.51607989,-77.90821105,-76.42737603,-78.10547381,-72.2411774,-72.19167703,-73.15452461,-73.0457277,-73.31498036,-72.59947247,-72.80980153,-72.93001232,-75.25219324,-75.9075787,-77.56431903,-72.60737239
202,"tetrahydrothiopyran",-66.22404695,-75.56589783,-67.22344307,-64.6699273,-70.37289843,-69.0242585,-70.49026977,-64.91597827,-65.26555514,-66.4249553,-66.43238411,-66.85716302,-65.81208786,-65.85546695,-65.74856914,-68.05367086,-68.60333083,-70.21877569,-65.8256118
203,"piperidine",-70.70543943,-80.80799434,-71.90630219,-69.16412867,-75.18779334,-73.72266449,-75.28111097,-69.68216452,-69.6104673,-70.98210988,-70.96281227,-71.12607135,-70.2761347,-70.61005588,-70.66908486,-72.89751072,-73.48236495,-75.05754257,-70.42580045
204,"t-butyl methyl ether",-73.22162701,-83.29673215,-74.10023684,-71.39479349,-77.42878618,-75.91751021,-77.70069004,-72.126251,-72.14658445,-73.47482841,-73.43004317,-73.69429586,-73.10020749,-73.14716496,-73.17473782,-75.39287062,-75.97197342,-77.49074006,-72.83581104
205,"1,3-difluorobenzene",-60.09893188,-70.88124662,-62.64891596,-59.70668574,-65.79415076,-64.66913327,-65.61014182,-59.96733705,-60.39298264,-60.53987609,-60.51981678,-60.32008887,-58.99748337,-59.67714623,-59.93836766,-62.16137416,-62.85653182,-64.58393084,-60.09788821
206,"1,4-difluorobenzene",-60.07234196,-70.84759134,-62.61505548,-59.67085633,-65.76238027,-64.6383728,-65.57904201,-59.93015923,-60.36901874,-60.51210203,-60.4888736,-60.29783536,-58.98390269,-59.63861794,-59.89673269,-62.12510294,-62.82183719,-64.5514887,-60.05845309
207,"fluorobenzene",-59.73038574,-69.5654766,-61.89866789,-59.21501106,-64.80023592,-63.70468132,-64.66959265,-59.44482014,-59.81044793,-60.13230539,-60.07853616,-59.96888837,-58.78504804,-59.37928341,-59.61760638,-61.63529138,-62.25892415,-63.81323375,-59.70103376
208,"diisopropyl ether",-86.14006696,-97.92122521,-87.21622318,-84.06193041,-91.09415099,-89.32996919,-91.40862054,-84.86196479,-84.97906355,-86.46132633,-86.3876838,-86.66477275,-85.92324639,-86.04220242,-86.05941505,-88.67117527,-89.33968915,-91.1258465,-85.71844241
209,"PF5",-24.1461,-29.17523215,-24.35754699,-22.69096876,-26.16950833,-25.71132463,-26.12648819,-23.55333104,-23.14546688,-23.53277233,-23.70423067,-24.95267828,-24.77488541,-22.92686173,-22.97310471,-24.302413,-24.80216662,-25.68360324,-22.94176126
210,"SF6",-20.7245,-27.90000619,-21.95234332,-19.87323557,-24.33422009,-23.68403017,-24.2855196,-20.40447295,-20.6145033,-20.7063089,-21.03773247,-21.62650646,-20.95869909,-19.77883315,-19.6888086,-21.61914645,-22.1763042,-23.57637749,-20.00431516
211,"P4",-12.5624,-15.82509004,-13.3204188,-12.45356689,-14.37931667,-14.08445316,-14.23711902,-12.29107244,-12.01766387,-12.86086605,-13.20760808,-12.95270667,-12.36729112,-12.4557234,-12.34504841,-13.31413995,-13.5060459,-14.32429499,-12.46664693
212,"SO3",-14.8936,-19.5378368,-16.10267496,-14.89498624,-17.44300514,-17.03410933,-17.46686919,-15.12672012,-14.7979179,-14.77167097,-14.74524993,-15.39671415,-15.11484741,-14.70910822,-14.72989232,-15.76526447,-16.09815836,-16.89931322,-14.70913968
213,"SCl2",-5.57286,-7.49271475,-6.1868371,-5.67851356,-6.82677683,-6.65425933,-6.77269909,-5.57313814,-5.61352603,-5.81718925,-5.91660099,-5.77233888,-5.4384352,-5.5640785,-5.45160291,-6.06134421,-6.17768406,-6.63457508,-5.65307695
214,"POCl3",-15.5497,-19.07198877,-16.16650796,-15.03962981,-17.46255975,-17.11445154,-17.28956574,-15.05369435,-14.85805134,-15.3542,-15.4999686,-16.16116669,-15.56707832,-15.00346109,-14.86966848,-16.02422802,-16.3100038,-17.12474584,-15.12412112
215,"PCl5",-13.3837,-17.24129631,-14.20930459,-12.94392083,-15.73079364,-15.33507707,-15.39547844,-12.6253971,-12.73153521,-13.49793904,-13.80466598,-14.09054673,-13.04980798,-12.88967363,-12.61715011,-14.09309188,-14.37346363,-15.42983593,-13.16646311
216,"SO2Cl2",-14.38360497,-19.16420858,-15.63598449,-14.3191917,-17.15966906,-16.71914101,-17.06308009,-14.31271432,-14.27200171,-14.37753555,-14.47384279,-15.06008516,-14.4313055,-14.10936016,-14.00445053,-15.30989504,-15.64125361,-16.62951023,-14.26319814
217,"PCl3",-10.0784,-12.45305909,-10.65636029,-9.9358802,-11.51675633,-11.28840906,-11.36375147,-9.88762156,-9.73316107,-10.21390115,-10.37695497,-10.37764346,-9.94833873,-9.93336516,-9.81389724,-10.60737827,-10.77203165,-11.34193032,-10.01260766
218,"S2Cl2",-8.45375774,-11.620352,-9.61702198,-8.85518542,-10.55995259,-10.30899253,-10.45497462,-8.70906257,-8.70871317,-9.02319581,-9.14775203,-8.58385009,-8.09383559,-8.70622414,-8.55453925,-9.44521128,-9.61865499,-10.28542236,-8.8282257
219,"SiCl2",-8.925176,-10.27870038,-9.12443314,-8.67532847,-9.66408501,-9.52928317,-9.57929161,-8.69084561,-8.60467536,-8.90223904,-8.96554849,-9.16801592,-8.92951329,-8.67623659,-8.61338115,-9.08752036,-9.20203612,-9.52094491,-8.72648457
220,"CF3Cl",-18.7189,-23.59017659,-19.89294006,-18.56482018,-21.40834116,-20.95286573,-21.37218648,-18.73263766,-19.06901071,-18.82559583,-18.96308386,-18.92274975,-18.35467985,-18.30518563,-18.26517945,-19.49688136,-19.82459204,-20.75317614,-18.55063063
221,"C2F6",-34.186497,-42.84379081,-36.11170903,-33.72209273,-38.7548429,-37.95539151,-38.6748794,-34.20309092,-34.6716566,-34.21027621,-34.41439159,-34.51606487,-33.64444617,-33.40711445,-33.43168595,-35.49703296,-36.09316725,-37.63522401,-33.78417507
222,"CF3",-14.9003,-19.06937435,-16.11090328,-15.0666714,-17.27573744,-16.93143201,-17.26006397,-15.28779327,-15.51709795,-15.27534188,-15.32914719,-14.81361616,-14.46670324,-14.82248926,-14.83554889,-15.73753941,-16.00903888,-16.68941002,-15.00687675
223,"phenyl radical",-54.09855986,-62.7426159,-56.15343665,-53.82888312,-58.64761559,-57.67595292,-58.47707663,-53.90907656,-54.26999213,-54.65026358,-54.55567352,-54.21130655,-53.07516675,-53.96839268,-54.1977941,-55.91396412,-56.44408115,-57.77155261,-54.27190366
